REG_DT,DTIN_NM,STTS_CD,FRST_WRT_YR,STATS_VL,WRTR_TELNO,RGTR_ID,WRT_DEPT_NM,ORGNL_PATH_CN,DTA_UNIT_NM,RW_STATS_ID,YR,MDFR_ID,DONG_CD,MDFCN_DT
0015/07/22 00:00:00,고령인구수,ST02,2007,29038,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2629000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,24182,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2632000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,36270,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2635000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,29565,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2638000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,25032,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2641000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,7689,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2644000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,20246,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2647000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,18794,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2650000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,19220,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2653000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,10153,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2671000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,220980,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2700000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,11237,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2711000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,36016,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2714000000,0016/01/29 00:00:00
